breed_primary,breed_secondary,breed_mixed,breed_unknown,name,age,sex,size,contact_city,contact_state,contact_zip,contact_country,FoundCity,FoundState,foundStateAbb,stateQ
Beagle,Pit Bull Terrier,True,False,Daenerys,Adult,Female,Small,Fairmont,WV,26554,US,Fairmont,West Virginia,WV,WV
Pit Bull Terrier,,False,False,Ruby,Adult,Female,Medium,Ozone Park,NY,11417,US,Far Rockaway,New York,NY,CT
Pit Bull Terrier,,False,False,Murphy,Young,Male,Medium,Far Rockaway,NY,11691,US,Far Rockaway,New York,NY,CT
Pit Bull Terrier,,False,False,Honey,Young,Female,Medium,Far Rockaway,NY,11691,US,Far Rockaway,New York,NY,CT
Chihuahua,,False,False,Cannoli,Baby,Male,Small,Far Rockaway,NY,11691,US,Far Rockaway,New York,NY,CT
Pit Bull Terrier,,False,False,Lucas,Baby,Male,Medium,Far Rockaway,NY,11691,US,Far Rockaway,New York,NY,CT
Labrador Retriever,Pit Bull Terrier,True,False,Olivia,Baby,Female,Medium,Far Rockaway,NY,11691,US,Far Rockaway,New York,NY,CT
Mastiff,German Shepherd Dog,True,False,Daisy,Young,Female,Medium,Far Rockaway,NY,11691,US,Far Rockaway,New York,NY,CT
Chihuahua,,False,False,Tank,Adult,Male,Small,Far Rockaway,NY,11691,US,Far Rockaway,New York,NY,CT
Pit Bull Terrier,,False,False,Mella,Young,Male,Medium,Far Rockaway,NY,11691,US,Far Rockaway,New York,NY,CT
Hound,Beagle,True,False,Hobbes,Young,Male,Medium,Fairfax Station,VA,22039,US,Fayette County,West Virginia,WV,DC
Hound,Rottweiler,True,False,Joey,Adult,Male,Medium,Chantilly,VA,20152,US,Fayette County,Georgia,GA,DC
Australian Shepherd,,False,False,Lady Bunny,Baby,Female,Medium,Fayetteville,NC,28304,US,Fayetteville,North Carolina,NC,NC
Pekingese,,False,False,Genie,Baby,Female,Small,Apollo Beach,FL,33572,US,,Florida,FL,FL
Chocolate Labrador Retriever,Retriever,True,False,Yoshi,Baby,Male,Medium,Saratoga Springs,NY,12866,US,,Florida,FL,NY
Yellow Labrador Retriever,Shepherd,True,False,Biscuit,Baby,Female,Medium,Saratoga Springs,NY,12866,US,,Florida,FL,NY
Miniature Pinscher,Miniature Dachshund,True,False,Nikki,Adult,Female,Small,Saratoga Springs,NY,12866,US,,Florida,FL,NY
Black Labrador Retriever,Retriever,True,False,Moe,Baby,Male,Medium,Saratoga Springs,NY,12866,US,,Florida,FL,NY
Black Labrador Retriever,Retriever,True,False,Larry,Baby,Male,Medium,Saratoga Springs,NY,12866,US,,Florida,FL,NY
Black Labrador Retriever,Retriever,True,False,Curly,Baby,Female,Medium,Saratoga Springs,NY,12866,US,,Florida,FL,NY
English Bulldog,Rottweiler,True,False,Braxton,Young,Male,Medium,Saratoga Springs,NY,12866,US,,Florida,FL,NY
Great Dane,Black Labrador Retriever,True,False,Solomon,Young,Male,Large,Saratoga Springs,NY,12866,US,,Florida,FL,NY
Anatolian Shepherd,,False,False,Raelyn,Young,Female,Medium,Saratoga Springs,NY,12866,US,,Florida,FL,NY
Anatolian Shepherd,,True,False,Tutsi,Young,Female,Extra Large,Ormond Beach,FL,32174,US,,Florida,FL,FL
German Shepherd Dog,,False,False,Neff,Adult,Male,Large,Dunnellon,FL,34433,US,,Florida,FL,FL
German Shepherd Dog,,False,False,Missy,Young,Female,Large,Dunnellon,FL,34433,US,,Florida,FL,FL
Black Mouth Cur,German Shepherd Dog,True,False,Buddy,Adult,Male,Medium,Bradenton,FL,34211,US,,Florida,FL,FL
Black Mouth Cur,Labrador Retriever,True,False,Sheba,Adult,Female,Large,Bradenton,FL,34211,US,,Florida,FL,FL
German Shepherd Dog,,False,False,Molly,Adult,Female,Large,Dunnellon,FL,34433,US,,Florida,FL,FL
Beagle,,False,False,"XP Scooby - Flanders, NJ",Senior,Male,Medium,Rockaway,NJ,07866,US,Flanders,New Jersey,NJ,NJ
American Staffordshire Terrier,Pit Bull Terrier,True,False,Pablo -- Courtesy Post,Senior,Male,Large,Frederick,MD,21701,US,Flint,Maryland,MD,DC
Pit Bull Terrier,,True,False,Dingo,Adult,Male,Small,Kanab,UT,84741,US,,Florida,FL,89024
Pit Bull Terrier,,True,False,Hercules,Adult,Male,Small,Kanab,UT,84741,US,,Florida,FL,89024
Retriever,,True,False,Scooby,Adult,Male,Small,Kanab,UT,84741,US,,Florida,FL,89024
Wirehaired Terrier,,True,False,Axel,Adult,Male,Medium,Sudbury,MA,01776,US,,Florida,FL,CT
Great Dane,Labrador Retriever,True,False,Scooby,Young,Male,Large,Sudbury,MA,01776,US,,Florida,FL,CT
Pit Bull Terrier,,True,False,Huntress Wizard,Young,Female,Medium,Brooklyn,NY,11215,US,,Florida,FL,CT
Labrador Retriever,Basenji,True,False,Meadow,Young,Female,Medium,New York,NY,10011,US,,Florida,FL,CT
Labrador Retriever,Beagle,True,False,Dragonfly,Adult,Female,Medium,New York,NY,10011,US,,Florida,FL,CT
Boxer,,False,False,Chalupa,Young,Male,Medium,Dumont,NJ,07628,US,,Florida,FL,CT
Chihuahua,Mixed Breed,True,False,YODA,Adult,Male,Medium,East Hampton,NY,11937,US,,Florida,FL,CT
Labrador Retriever,Mixed Breed,True,False,TOBY,Adult,Male,Medium,East Hampton,NY,11937,US,,Florida,FL,CT
Hound,Mixed Breed,True,False,TINSEL,Adult,Female,Large,East Hampton,NY,11937,US,,Florida,FL,CT
Mixed Breed,,False,False,Lady,Young,Female,Large,Westhampton,NY,11977,US,,Florida,FL,CT
Pit Bull Terrier,,False,False,Chop,Adult,Male,Medium,Winthrop,MA,02152,US,,Florida,FL,CT
Siberian Husky,German Shepherd Dog,True,False,Lily,Adult,Female,Large,Canterbury,CT,06331,US,,Florida,FL,CT
Shepherd,Mixed Breed,True,False,Princess Leia,Senior,Female,Medium,Westhampton,NY,11977,US,,Florida,FL,CT
Labrador Retriever,Mixed Breed,True,False,MAC,Young,Male,Large,Waterford,VA,20197,US,,Florida,FL,DC
Labrador Retriever,Mixed Breed,True,False,MAC,Young,Male,Large,Waterford,VA,20197,US,,Florida,FL,DC
Mixed Breed,,True,False,Bernie,Young,Male,Small,Media,PA,19063,US,,Florida,FL,DE
Mixed Breed,,True,False,Gretchen *Foster*,Adult,Female,Large,Media,PA,19063,US,,Florida,FL,DE
Mixed Breed,,True,False,Alastair *Sponsored Adoption Fee**Foster*,Young,Male,Medium,Media,PA,19063,US,,Florida,FL,DE
Mixed Breed,,True,False,David *Sponsored adoption fee*,Adult,Male,Large,Media,PA,19063,US,,Florida,FL,DE
English Pointer,,False,False,Ruby & Opal (VA),Adult,Female,Large,Bridgeton,NJ,08332,US,,Florida,FL,DE
Labrador Retriever,,False,False,BYRON,Young,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,BYRON,Young,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,HAMILTON,Senior,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,HAMILTON,Senior,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,LUCY,Baby,Female,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,LUCY,Baby,Female,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Black and Tan Coonhound,,False,False,Morty *FH*,Young,Male,Medium,Sanford,FL,32771,US,,Florida,FL,FL
Labrador Retriever,Hound,True,False,REGAN MAE,Baby,Female,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,Hound,True,False,REGAN MAE,Baby,Female,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,REMY,Young,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,REMY,Young,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Basset Hound,Terrier,True,False,Bucky,Young,Male,Medium,Sanford,FL,32771,US,,Florida,FL,FL
American Staffordshire Terrier,,True,False,Jasper,Young,Male,Large,Seminole,FL,33772,US,,Florida,FL,FL
Labrador Retriever,,False,False,ANYA GRACE,Adult,Female,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,ANYA GRACE,Adult,Female,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,Kisses,Senior,Female,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,False,False,Kisses,Senior,Female,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,False,False,Kaya,Senior,Female,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,False,False,Kaya,Senior,Female,Large,Tampa,FL,33601,US,,Florida,FL,FL
Chinese Crested Dog,,False,False,Merlin,Senior,Male,Small,Parrish,FL,34219,US,,Florida,FL,FL
Labrador Retriever,,False,False,CHARLIE BEAR,Young,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,CHARLIE BEAR,Young,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Black Labrador Retriever,,True,False,Nigel,Young,Male,Large,Minneola,FL,34755,US,,Florida,FL,FL
Labrador Retriever,Hound,True,False,MARTHA,Young,Female,Medium,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,Hound,True,False,MARTHA,Young,Female,Medium,New Port Richey,FL,34654,US,,Florida,FL,FL
Jack Russell Terrier,,True,False,Bobby,Senior,Male,Small,Bradenton,FL,34211,US,,Florida,FL,FL
Labrador Retriever,,False,False,Abby,Senior,Female,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,Abby,Senior,Female,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,Great Pyrenees,True,False,Ty,Senior,Male,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,Great Pyrenees,True,False,Ty,Senior,Male,Large,Tampa,FL,33601,US,,Florida,FL,FL
Boxer,Labrador Retriever,True,False,Jojo & Rowdy,Young,Male,Medium,St. Petersburg,FL,33732,US,,Florida,FL,FL
Labrador Retriever,,False,False,ASPEN,Senior,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,ASPEN,Senior,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,Shar-Pei,True,False,Bert,Senior,Male,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,Shar-Pei,True,False,Bert,Senior,Male,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,False,False,ELTON,Senior,Male,Medium,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,ELTON,Senior,Male,Medium,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,Lucas and Lily (Libby),Adult,Male,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,False,False,Lucas and Lily (Libby),Adult,Male,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,True,False,Bella (chocolate),Young,Female,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,True,False,Bella (chocolate),Young,Female,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,False,False,Larry and Moe,Senior,Male,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,False,False,Larry and Moe,Senior,Male,Large,Tampa,FL,33601,US,,Florida,FL,FL
Labrador Retriever,,False,False,MALACHI,Young,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
Labrador Retriever,,False,False,MALACHI,Young,Male,Large,New Port Richey,FL,34654,US,,Florida,FL,FL
American Staffordshire Terrier,,True,False,Poet,Young,Female,Medium,Ocoee,FL,34761,US,,Florida,FL,FL
American Staffordshire Terrier,,True,False,BamBam,Adult,Male,Large,Palmetto,GA,30268,US,,Florida,FL,GA
Shepherd,Labrador Retriever,True,False,Ramsey,Adult,Male,Large,Grovertown,IN,46531,US,,Florida,FL,IN
Cattle Dog,Labrador Retriever,True,False,Crissy & Molly,Senior,Female,Medium,Winchester,KY,40391,US,,Florida,FL,KY
Pit Bull Terrier,,True,False,Rufus - Maine,Young,Male,Medium,Kennebunkport,ME,04046,US,,Florida,FL,MA
Xoloitzcuintli / Mexican Hairless,,False,False,Coyotl,Adult,Male,Small,Matthews,NC,28104,US,,Florida,FL,NC
Labrador Retriever,,True,False,Jimmy,Adult,Male,Medium,Bridgewater,NJ,08807,US,,Florida,FL,NJ
Hound,,True,False,Stephanie,Baby,Female,Medium,Skillman,NJ,08558,US,,Florida,FL,NJ
Hound,,True,False,Jesse,Baby,Male,Medium,Skillman,NJ,08558,US,,Florida,FL,NJ
Hound,Terrier,True,False,Mia,Young,Female,Large,Warren,NJ,07059,US,,Florida,FL,NJ
Pit Bull Terrier,Labrador Retriever,True,False,Mercedes,Young,Female,Medium,Union Dale,PA,18470,US,,Florida,FL,NY
English Pointer,,False,False,Needs Foster Freya (FL),Adult,Female,Large,Bridgeton,NJ,08332,US,,Florida,FL,DE
German Shepherd Dog,Labrador Retriever,True,False,Ginger,Senior,Female,Medium,Dunnellon,FL,34431,US,,Florida,FL,FL
American Bulldog,Terrier,True,False,Liberty,Adult,Female,Medium,Deltona,FL,32725,US,,Florida,FL,FL
Great Pyrenees,,False,False,Ruby -  courtesy post,Adult,Female,Large,Croydon,NH,03773,US,,Florida,FL,MA
Pomeranian,,True,False,Sweet Pea,Senior,Female,Small,Florence,KY,41022,US,Fort Mitchell,Kentucky,KY,KY
Border Collie,,True,False,Ace,Young,Male,Medium,Ft. Payne,AL,35968,US,Fort Payne,Alabama,AL,TN
Dachshund,Mixed Breed,True,False,Stobie,Young,Male,Small,Ft. Payne,AL,35968,US,Fort Payne,Alabama,AL,TN
Labrador Retriever,Shepherd,True,False,Cade,Adult,Male,Large,Ft. Payne,AL,35968,US,Fort Payne,Alabama,AL,TN
Basenji,,True,False,Toby,Adult,Male,Small,Tulsa,OK,74147,US,Fort Smith,Oklahoma,OK,OK
Terrier,,True,False,Hallee,Adult,Female,Medium,Tulsa,OK,74147,US,Fort Smith,Oklahoma,OK,OK
Shepherd,Hound,True,False,Dale,Adult,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Husky,German Shepherd Dog,True,False,Raiden,Young,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Dachshund,,True,False,Peggy,Young,Female,Small,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Rottweiler,,False,False,Tank,Young,Male,Large,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Black Mouth Cur,Pit Bull Terrier,True,False,Tony the Tiger,Young,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Rottweiler,Pit Bull Terrier,True,False,Branna,Adult,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Labrador Retriever,,True,False,Benny,Young,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
German Shepherd Dog,,True,False,Austin,Adult,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
American Staffordshire Terrier,American Bulldog,True,False,Amos,Adult,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Labrador Retriever,American Bulldog,True,False,Alice,Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Boxer,,True,False,Libby,Adult,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Wirehaired Terrier,German Shepherd Dog,True,False,Molly,Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Labrador Retriever,,False,False,Norah,Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
German Shepherd Dog,,False,False,Zennith,Adult,Female,Large,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Shar-Pei,Boxer,True,False,Darcy,Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Terrier,American Bulldog,True,False,Patches,Young,Male,Small,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Terrier,American Bulldog,True,False,Murphy,Young,Male,Small,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Labrador Retriever,,True,False,Shane,Baby,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Belgian Shepherd / Malinois,,False,False,Lucy (4),Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Boxer,,False,False,Genesis,Senior,Female,Large,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
German Shepherd Dog,Belgian Shepherd / Malinois,True,False,Harper,Adult,Female,Large,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Staffordshire Bull Terrier,Boxer,True,False,Lilly,Adult,Female,Large,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Pit Bull Terrier,,False,False,Noel,Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
American Staffordshire Terrier,,False,False,Diesel,Young,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Pomeranian,Dachshund,True,False,Phillip,Young,Male,Small,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Pomeranian,Dachshund,True,False,Gus,Young,Male,Small,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Boxer,Plott Hound,True,False,Morticia,Adult,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Rhodesian Ridgeback,Labrador Retriever,True,False,Coco,Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Chihuahua,Boston Terrier,True,False,Snoopy,Adult,Male,Small,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Pit Bull Terrier,,False,False,Noble,Young,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
American Bulldog,Hound,True,False,Yoshi,Young,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
American Bulldog,,False,False,Tonka,Senior,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Staffordshire Bull Terrier,,False,False,Scarlett,Adult,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
American Staffordshire Terrier,Pit Bull Terrier,True,False,Rocko,Adult,Male,Large,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Pit Bull Terrier,,False,False,Repo,Adult,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
German Shepherd Dog,,True,False,Paris,Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Terrier,,True,False,Kermit,Young,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Boxer,Terrier,True,False,Jordyn,Young,Female,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Labrador Retriever,German Shepherd Dog,True,False,Jimmy,Young,Male,Medium,Fort Valley,GA,31030,US,Fort Valley,Georgia,GA,GA
Pit Bull Terrier,Labrador Retriever,True,False,Pip,Young,Male,Large,White Plains,NY,10602,US,Fort Worth,Texas,TX,CT
Boxer,,True,False,Chief,Adult,Male,Medium,Franklin,IN,46131,US,Franklin,Indiana,IN,IN
German Shepherd Dog,,True,False,Oreo,Baby,Female,Small,Green Bay,WI,54302,US,Franklin,Wisconsin,WI,WI
German Shepherd Dog,,True,False,Krackel,Baby,Female,Small,Green Bay,WI,54302,US,Franklin,Wisconsin,WI,WI
Beagle,,False,False,Willy,Adult,Male,Medium,Hamilton,OH,45013,US,Franklin County,Indiana,IN,IN
Pit Bull Terrier,,False,False,Hershey,Adult,Female,Large,Lorain,OH,44052,US,Franklin County's,Indiana,IN,OH
Mixed Breed,,True,False,Percy,Senior,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Sky,Young,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Muppet,Adult,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Shortcake,Young,Female,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Wyatt,Young,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Peace,Young,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Symphony,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Harmony,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Lyric,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Cadence,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Toe,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Tac,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Tic,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Vice,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Peppo,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Loey,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Brownie,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Abbigale and Hoss,Adult,Female,Small,Fredericksburg,VA,22405,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Truman,Young,Male,Medium,Fredericksburg,VA,22406,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Reagan,Adult,Female,Medium,Fredericksburg,VA,22401,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Brody,Young,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Baxter,Adult,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Nellie,Young,Female,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Lorence,Young,Male,Small,Fredericksburg,VA,22401,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Stormy,Adult,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Otis Jr,Baby,Male,Medium,Spotsylvania,VA,22551,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Addie,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Barry,Baby,Male,Medium,Spotsylvania,VA,22551,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Aretha,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Luther,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Erykah,Young,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Trixie,Adult,Female,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Bertha,Young,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Cardi,Baby,Female,Small,Fredericksburg,VA,22407,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Snoop,Baby,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Drake,Baby,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Anne,Adult,Female,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Alma,Senior,Female,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Zeus,Adult,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Otis,Adult,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Toro,Adult,Male,Small,Fredericksburg,VA,22405,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Domingo,Adult,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Ollie,Senior,Male,Large,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Roco,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Mika,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Frank,Young,Male,Large,Fredericksburg,VA,22407,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Bayou,Baby,Female,Medium,Fredericksburg,VA,22407,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Laguna,Baby,Female,Medium,Fredericksburg,VA,22407,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Bay,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Brooke,Baby,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Delta,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Ford,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Rio,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Marsh,Baby,Male,Medium,Fredericksburg,VA,22407,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,River,Baby,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Maya,Adult,Female,Medium,Fredericksburg,VA,22405,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Wes,Senior,Male,Small,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Rae,Adult,Male,Small,Spotsylvania,VA,22553,US,Fredericksburg,Virginia,VA,DC
Husky,,True,False,Ajax,Young,Male,Large,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Dutchess,Adult,Female,Small,Fredericksburg,VA,22407,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,True,False,Reina,Adult,Female,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
Mixed Breed,,False,False,Moe,Young,Male,Medium,Fredericksburg,VA,22408,US,Fredericksburg,Virginia,VA,DC
